userId,movieId,rating,timestamp
1,3578,5.0,964980668
2,122882,5.0,1445715272
3,6835,5.0,1306463670
4,4239,5.0,986848685
5,590,5.0,847434747
6,296,2.0,845553110
7,4370,4.5,1106712869
8,356,3.0,839463527
9,5952,5.0,1044656908
10,88810,3.0,1455399281
11,1693,5.0,902155102
12,8533,5.0,1247264151
13,3977,3.0,987895952
14,383,4.0,835441729
15,84152,5.0,1510572834
16,2707,3.5,1377476693
17,1100,3.5,1305696352
18,8798,4.0,1455617710
19,2581,3.0,965706839
20,837,4.0,1054038259
21,103335,4.0,1403460687
22,6874,4.0,1268726782
23,1232,5.0,1107163618
24,52973,3.5,1458941098
25,5952,5.0,1535470419
26,10,3.0,836950403
27,2530,3.0,965151252
28,59129,2.5,1234853569
29,1303,4.5,1308084157
30,33794,5.0,1500370439
31,605,4.0,852207559
32,272,5.0,856737123
33,1580,3.0,939718916
34,8622,2.0,1163954952
35,266,2.0,830939546
36,25,2.5,1100803583
37,150,5.0,845239388
38,318,5.0,841341249
39,2858,5.0,974788291
40,186,3.0,832059273
41,116897,5.0,1459367741
42,2502,5.0,996219191
43,502,5.0,848994518
44,786,2.0,869251910
45,2081,5.0,950726248
46,318,4.0,834787757
47,96811,4.0,1496207286
48,8371,4.0,1127128944
49,110,4.0,1493093005
50,170875,1.0,1514498060
51,3363,4.5,1230929491
52,48738,4.5,1468051968
53,203,5.0,1237748081
54,595,3.0,830247389
55,2278,3.0,1312747714
56,480,5.0,835799295
57,3773,1.0,965797677
58,265,4.0,847718991
59,2076,5.0,953610526
60,48,3.0,1393541734
61,6874,4.0,1145532616
62,63992,1.0,1528934225
63,592,4.0,1443201079
64,3396,4.0,1161565767
65,36529,4.0,1494767337
66,2858,5.0,1093747418
67,152081,4.0,1501274150
68,368,4.0,1158532750
69,4643,4.0,1021645486
70,4995,4.5,1355198459
71,1004,3.0,864738723
72,2805,3.5,1217323507
73,5299,3.0,1464197122
74,1103,5.0,1207499290
75,1204,3.5,1158989794
76,2858,4.0,1439167032
77,79132,2.5,1535107524
78,1,4.0,1252575124
79,3062,4.0,975281934
80,53322,4.0,1377309208
81,208,1.0,845299800
82,153,3.0,1084465021
83,4226,4.5,1332839882
84,368,3.0,860397613
85,1449,4.0,889467953
86,2028,3.5,1344082583
87,60,3.0,1270702696
88,16,4.5,1331421395
89,33646,3.0,1520408552
90,613,5.0,856354212
91,1094,3.0,1112713651
92,2085,3.5,1294941801
93,1779,4.0,942946634
94,2,4.0,843406960
95,5902,5.0,1043535835
96,1210,5.0,964772712
97,5420,3.0,1047481371
98,53993,4.0,1532457625
99,236,5.0,829828006
100,4041,5.0,1100184235
101,223,4.0,968440895
102,3,5.0,840635033
103,60069,4.0,1431955134
104,595,5.0,1048589291
105,30749,4.0,1446572061
106,106489,5.0,1467360741
107,165,3.0,832003678
108,469,4.0,1042838912
109,154,3.0,841109988
110,7160,3.5,1175329624
111,179211,3.5,1516154871
112,5952,5.0,1442535787
113,1680,3.0,980051734
114,127198,3.5,1485387585
115,1379,5.0,944951378
116,3578,4.5,1337199860
117,733,3.0,844163216
118,25,2.0,944924731
119,136598,5.0,1459195916
120,5,4.0,860070029
121,1,4.0,847656180
122,2761,4.5,1461562398
123,47,4.5,1447291940
124,593,4.0,1336423449
125,96829,4.5,1474295813
126,589,3.0,845925822
127,272,3.0,1263527148
128,1617,3.0,899032461
129,7143,5.0,1167376536
130,231,4.0,832589583
131,1196,2.5,1349840282
132,44191,3.0,1329983574
133,539,3.0,843491579
134,442,4.0,832841791
135,410,4.0,1009692210
136,353,5.0,832449934
137,1258,3.5,1204859851
138,222,5.0,1222676038
139,59615,1.5,1453924671
140,1021,4.0,1021898763
141,54001,3.0,1513130504
142,589,3.0,838933753
143,6539,3.0,1444769135
144,784,1.5,1137324140
145,339,3.0,832105242
146,47610,4.0,1312507869
147,5,4.5,1203267700
148,79702,4.0,1482548751
149,2,1.0,902084874
150,58,3.0,854203163
151,1,5.0,855947195
152,115713,4.5,1450867608
153,6863,2.0,1525552526
154,89745,5.0,1486297130
155,3555,4.0,961862096
156,1923,4.0,939853546
157,527,5.0,992479576
158,2490,5.0,1290764747
159,47099,5.0,1508640302
160,3994,4.0,1065992076
161,5643,4.5,1176746775
162,590,4.0,836488863
163,1747,3.0,894217570
164,4440,5.0,999708209
165,5872,3.0,1046742010
